Time (s),Amplitude
0.7771996659731363,33
0.777241334409013,102
0.7772830028448898,147
0.7773246712807665,186
0.7773663397166433,218
0.7774080081525201,220
0.7774496765883968,233
0.7774913450242735,206
0.7775330134601502,180
0.7775746818960271,135
0.7776163503319038,84
0.7776580187677805,22
0.7776996872036573,-46
0.7777413556395341,-95
0.7777830240754108,-159
0.7778246925112875,-187
0.7778663609471643,-218
0.777908029383041,-233
0.7779496978189178,-229
0.7779913662547946,-219
0.7780330346906713,-176
0.778074703126548,-139
0.7781163715624247,-80
0.7781580399983016,-23
0.7781997084341783,51
0.778241376870055,104
0.7782830453059318,149
0.7783247137418086,199
0.7783663821776853,223
0.778408050613562,236
0.7784497190494388,236
0.7784913874853155,213
0.7785330559211923,189
0.7785747243570691,131
0.7786163927929458,88
0.7786580612288225,15
0.7786997296646992,-47
0.7787413981005761,-110
0.7787830665364528,-158
0.7788247349723295,-207
0.7788664034082062,-236
0.7789080718440831,-251
0.7789497402799598,-245
0.7789914087158365,-229
0.7790330771517133,-188
0.77907474558759,-136
0.7791164140234668,-88
0.7791580824593435,-31
0.7791997508952203,31
0.779241419331097,104
0.7792830877669737,135
0.7793247562028506,188
0.7793664246387273,222
0.779408093074604,233
0.7794497615104807,237
0.7794914299463576,212
0.7795330983822343,176
0.779574766818111,139
0.7796164352539878,85
0.7796581036898645,24
0.7796997721257413,-42
0.779741440561618,-93
0.7797831089974948,-150
0.7798247774333715,-190
0.7798664458692482,-228
0.7799081143051251,-234
0.7799497827410018,-243
0.7799914511768785,-212
0.7800331196127552,-181
0.7800747880486321,-144
0.7801164564845088,-85
0.7801581249203855,-30
0.7801997933562623,38
0.780241461792139,84
0.7802831302280158,151
0.7803247986638925,182
0.7803664670997693,209
0.780408135535646,217
0.7804498039715227,217
0.7804914724073996,197
0.7805331408432763,171
0.780574809279153,138
0.7806164777150297,68
0.7806581461509066,22
0.7806998145867833,-41
0.78074148302266,-102
0.7807831514585368,-151
0.7808248198944135,-194
0.7808664883302903,-216
0.780908156766167,-242
0.7809498252020438,-222
0.7809914936379205,-214
0.7810331620737972,-184
0.781074830509674,-138
0.7811164989455508,-90
0.7811581673814275,-18
0.7811998358173042,34
0.7812415042531811,105
0.7812831726890578,154
0.7813248411249345,187
0.7813665095608112,229
0.781408177996688,242
0.7814498464325648,241
0.7814915148684415,212
0.7815331833043183,192
0.781574851740195,132
0.7816165201760717,96
0.7816581886119485,16
0.7816998570478253,-36
0.781741525483702,-95
0.7817831939195787,-152
0.7818248623554556,-188
0.7818665307913323,-220
0.781908199227209,-228
0.7819498676630857,-248
0.7819915360989625,-209
0.7820332045348393,-183
0.782074872970716,-137
0.7821165414065928,-85
0.7821582098424695,-20
0.7821998782783463,44
0.782241546714223,97
0.7822832151500998,154
0.7823248835859765,197
0.7823665520218532,229
0.7824082204577301,232
0.7824498888936068,231
0.7824915573294835,220
0.7825332257653602,177
0.782574894201237,149
0.7826165626371138,76
0.7826582310729905,20
0.7826998995088673,-48
0.782741567944744,-90
0.7827832363806208,-157
0.7828249048164975,-194
0.7828665732523743,-218
0.782908241688251,-235
0.7829499101241277,-236
0.7829915785600046,-215
0.7830332469958813,-182
0.783074915431758,-139
0.7831165838676347,-85
0.7831582523035115,-24
0.7831999207393883,24
0.783241589175265,92
0.7832832576111418,136
0.7833249260470185,177
0.7833665944828953,218
0.783408262918772,220
0.7834499313546488,225
0.7834915997905255,204
0.7835332682264022,176
0.783574936662279,129
0.7836166050981558,78
0.7836582735340325,12
0.7836999419699092,-48
0.783741610405786,-111
0.7837832788416628,-151
0.7838249472775395,-205
0.7838666157134162,-224
0.783908284149293,-241
0.7839499525851698,-238
0.7839916210210465,-224
0.7840332894569233,-183
0.7840749578928,-133
0.7841166263286767,-95
0.7841582947645535,-7
0.7841999632004303,34
0.784241631636307,99
0.7842833000721837,153
0.7843249685080605,187
0.7843666369439373,225
0.784408305379814,241
0.7844499738156907,240
0.7844916422515675,214
0.7845333106874443,182
0.784574979123321,127
0.7846166475591978,83
0.7846583159950745,33
0.7846999844309512,-44
0.784741652866828,-94
0.7847833213027048,-150
0.7848249897385815,-197
0.7848666581744582,-227
0.784908326610335,-237
0.7849499950462118,-237
0.7849916634820885,-227
0.7850333319179652,-189
0.785075000353842,-149
0.7851166687897188,-102
0.7851583372255955,-28
0.7852000056614723,24
0.785241674097349,93
0.7852833425332257,146
0.7853250109691025,184
0.7853666794049793,219
0.785408347840856,235
0.7854500162767327,236
0.7854916847126096,214
0.7855333531484863,183
0.785575021584363,152
0.7856166900202397,81
0.7856583584561165,25
0.7857000268919933,-27
0.78574169532787,-93
0.7857833637637467,-147
0.7858250321996235,-180
0.7858667006355002,-218
0.785908369071377,-231
0.7859500375072538,-234
0.7859917059431305,-208
0.7860333743790072,-182
0.7860750428148839,-140
0.7861167112507608,-81
0.7861583796866375,-22
0.7862000481225142,43
0.786241716558391,99
0.7862833849942678,147
0.7863250534301445,184
0.7863667218660212,218
0.786408390301898,229
0.7864500587377747,228
0.7864917271736515,210
0.7865333956095283,172
0.786575064045405,130
0.7866167324812817,75
0.7866584009171584,18
0.7867000693530353,-50
0.786741737788912,-108
0.7867834062247887,-153
0.7868250746606655,-189
0.7868667430965423,-231
0.786908411532419,-240
0.7869500799682957,-247
0.7869917484041725,-219
0.7870334168400492,-193
0.787075085275926,-132
0.7871167537118028,-89
0.7871584221476795,-26
0.7872000905835562,39
0.7872417590194329,98
0.7872834274553098,153
0.7873250958911865,197
0.7873667643270632,220
0.78740843276294,236
0.7874501011988168,233
0.7874917696346935,225
0.7875334380705702,184
0.787575106506447,154
0.7876167749423237,85
0.7876584433782005,34
0.7877001118140773,-29
0.787741780249954,-88
0.7877834486858307,-144
0.7878251171217074,-174
0.7878667855575843,-214
0.787908453993461,-226
0.7879501224293377,-229
0.7879917908652145,-209
0.7880334593010913,-180
0.788075127736968,-131
0.7881167961728447,-90
0.7881584646087215,-24
0.7882001330445982,37
0.788241801480475,76
0.7882834699163517,153
0.7883251383522285,173
0.7883668067881052,212
0.7884084752239819,222
0.7884501436598588,223
0.7884918120957355,197
0.7885334805316122,171
0.7885751489674889,130
0.7886168174033658,68
0.7886584858392425,12
0.7887001542751192,-37
0.788741822710996,-106
0.7887834911468727,-148
0.7888251595827495,-187
0.7888668280186262,-219
0.788908496454503,-234
0.7889501648903797,-237
0.7889918333262564,-214
0.7890335017621333,-192
0.78907517019801,-139
0.7891168386338867,-81
0.7891585070697634,-18
0.7892001755056403,40
0.789241843941517,100
0.7892835123773937,151
0.7893251808132705,197
0.7893668492491472,223
0.789408517685024,243
0.7894501861209007,237
0.7894918545567775,227
0.7895335229926542,190
0.7895751914285309,151
0.7896168598644078,93
0.7896585283002845,37
0.7897001967361612,-33
0.7897418651720379,-80
0.7897835336079148,-150
0.7898252020437915,-185
0.7898668704796682,-222
0.789908538915545,-235
0.7899502073514217,-236
0.7899918757872985,-226
0.7900335442231752,-195
0.790075212659052,-150
0.7901168810949287,-101
0.7901585495308054,-36
0.7902002179666823,26
0.790241886402559,78
0.7902835548384357,134
0.7903252232743124,175
0.7903668917101893,205
0.790408560146066,223
0.7904502285819427,226
0.7904918970178194,204
0.7905335654536962,172
0.790575233889573,134
0.7906169023254497,75
0.7906585707613265,9
0.7907002391972032,-39
0.7907419076330799,-99
0.7907835760689567,-156
0.7908252445048335,-190
0.7908669129407102,-219
0.7909085813765869,-232
0.7909502498124638,-244
0.7909919182483405,-218
0.7910335866842172,-184
0.7910752551200939,-135
0.7911169235559707,-74
0.7911585919918475,-29
0.7912002604277242,33
0.791241928863601,102
0.7912835972994777,141
0.7913252657353544,189
0.7913669341712312,207
0.791408602607108,235
0.7914502710429847,220
0.7914919394788614,206
0.7915336079147383,168
0.791575276350615,134
0.7916169447864917,72
0.7916586132223684,16
0.7917002816582452,-47
0.791741950094122,-101
0.7917836185299987,-145
0.7918252869658755,-193
0.7918669554017522,-225
0.7919086238376289,-224
0.7919502922735057,-238
0.7919919607093825,-209
0.7920336291452592,-186
0.7920752975811359,-136
0.7921169660170128,-75
0.7921586344528895,-29
0.7922003028887662,44
0.7922419713246429,89
0.7922836397605197,146
0.7923253081963965,173
0.7923669766322732,211
0.79240864506815,232
0.7924503135040267,217
0.7924919819399034,210
0.7925336503757802,167
0.792575318811657,136
0.7926169872475337,78
0.7926586556834104,14
0.7927003241192871,-36
0.792741992555164,-106
0.7927836609910407,-165
0.7928253294269174,-199
0.7928669978627942,-226
0.792908666298671,-238
0.7929503347345477,-238
0.7929920031704244,-229
0.7930336716063012,-176
0.793075340042178,-171
0.7931170084780547,-91
0.7931586769139315,-48
0.7932003453498082,24
0.7932420137856849,96
0.7932836822215616,126
0.7933253506574385,187
0.7933670190933152,217
0.7934086875291919,211
0.7934503559650687,209
0.7934920244009455,200
0.7935336928368222,168
0.7935753612726989,140
0.7936170297085757,93
0.7936586981444524,3
0.7937003665803292,-30
0.793742035016206,-138
0.7937837034520827,-153
0.7938253718879594,-168
0.7938670403238361,-248
0.793908708759713,-218
0.7939503771955897,-247
0.7939920456314664,-219
0.7940337140673432,-176
0.79407538250322,-168
0.7941170509390967,-72
0.7941587193749734,-26
0.7942003878108502,24
0.794242056246727,103
0.7942837246826037,130
0.7943253931184805,209
0.7943670615543572,213
0.7944087299902339,214
0.7944503984261106,244
0.7944920668619875,201
0.7945337352978642,207
0.7945754037337409,128
0.7946170721696177,64
0.7946587406054945,43
0.7947004090413712,-40
0.7947420774772479,-92
0.7947837459131247,-151
0.7948254143490014,-193
0.7948670827848782,-224
0.794908751220755,-219
0.7949504196566317,-228
0.7949920880925084,-224
0.7950337565283851,-176
0.795075424964262,-135
0.7951170934001387,-98
0.7951587618360154,-19
0.7952004302718921,31
0.795242098707769,90
0.7952837671436457,156
0.7953254355795224,191
0.7953671040153992,229
0.795408772451276,202
0.7954504408871527,216
0.7954921093230294,200
0.7955337777589062,158
0.7955754461947829,118
0.7956171146306596,56
0.7956587830665365,17
0.7957004515024132,-30
0.7957421199382899,-123
0.7957837883741666,-148
0.7958254568100435,-231
0.7958671252459202,-230
0.7959087936817969,-260
0.7959504621176737,-245
0.7959921305535504,-238
0.7960337989894272,-206
0.7960754674253039,-136
0.7961171358611807,-118
0.7961588042970574,-31
0.7962004727329342,9
0.796242141168811,83
0.7962838096046877,120
0.7963254780405644,183
0.7963671464764411,207
0.796408814912318,215
0.7964504833481947,219
0.7964921517840714,205
0.7965338202199482,149
0.796575488655825,127
0.7966171570917017,76
0.7966588255275784,1
0.7967004939634552,-41
0.7967421623993319,-103
0.7967838308352087,-142
0.7968254992710855,-203
0.7968671677069622,-233
0.7969088361428389,-250
0.7969505045787156,-203
0.7969921730145925,-213
0.7970338414504692,-165
0.7970755098863459,-156
0.7971171783222227,-80
0.7971588467580994,-19
0.7972005151939762,35
0.7972421836298529,94
0.7972838520657297,138
0.7973255205016064,182
0.7973671889374832,232
0.7974088573733599,204
0.7974505258092367,235
0.7974921942451134,173
0.7975338626809901,168
0.797575531116867,136
0.7976171995527437,58
0.7976588679886204,27
0.7977005364244971,-84
0.797742204860374,-119
0.7977838732962507,-189
0.7978255417321274,-226
0.7978672101680042,-249
0.7979088786038809,-255
0.7979505470397577,-273
0.7979922154756344,-231
0.7980338839115112,-223
0.7980755523473879,-148
0.7981172207832646,-122
0.7981588892191415,-62
0.7982005576550182,36
0.7982422260908949,88
0.7982838945267716,144
0.7983255629626484,165
0.7983672313985252,217
0.7984088998344019,214
0.7984505682702787,226
0.7984922367061554,195
0.7985339051420322,181
0.7985755735779089,118
0.7986172420137857,71
0.7986589104496624,7
0.7987005788855391,-58
0.798742247321416,-101
0.7987839157572927,-173
0.7988255841931694,-170
0.7988672526290461,-226
0.798908921064923,-244
0.7989505895007997,-232
0.7989922579366764,-212
0.7990339263725532,-189
0.7990755948084299,-137
0.7991172632443067,-88
0.7991589316801834,-38
0.7992006001160602,43
0.7992422685519369,87
0.7992839369878136,144
0.7993256054236905,184
0.7993672738595672,215
0.7994089422954439,231
0.7994506107313206,214
0.7994922791671975,203
0.7995339476030742,160
0.7995756160389509,122
0.7996172844748276,81
0.7996589529107044,8
0.7997006213465812,-68
0.7997422897824579,-117
0.7997839582183347,-189
0.7998256266542114,-208
0.7998672950900881,-220
0.7999089635259649,-256
0.7999506319618417,-240
0.7999923003977184,-230
0.8000339688335951,-193
0.800075637269472,-139
0.8001173057053487,-83
0.8001589741412254,-23
0.8002006425771021,23
0.8002423110129789,114
0.8002839794488557,150
0.8003256478847324,199
0.8003673163206092,220
0.8004089847564859,232
0.8004506531923626,229
0.8004923216282394,207
0.8005339900641162,182
0.8005756584999929,140
0.8006173269358696,78
0.8006589953717465,21
0.8007006638076232,-37
0.8007423322434999,-104
0.8007840006793766,-148
0.8008256691152534,-190
0.8008673375511302,-223
0.8009090059870069,-236
0.8009506744228837,-240
0.8009923428587604,-222
0.8010340112946371,-194
0.8010756797305139,-145
0.8011173481663907,-85
0.8011590166022674,-27
0.8012006850381441,36
0.801242353474021,93
0.8012840219098977,143
0.8013256903457744,196
0.8013673587816511,217
0.8014090272175279,224
0.8014506956534047,230
0.8014923640892814,208
0.8015340325251582,175
0.8015757009610349,129
0.8016173693969116,69
0.8016590378327884,17
0.8017007062686652,-49
0.8017423747045419,-106
0.8017840431404186,-158
0.8018257115762955,-197
0.8018673800121722,-225
0.8019090484480489,-245
0.8019507168839256,-242
0.8019923853198024,-229
0.8020340537556792,-190
0.8020757221915559,-139
0.8021173906274326,-94
0.8021590590633094,-30
0.8022007274991861,34
0.8022423959350629,85
0.8022840643709397,145
0.8023257328068164,182
0.8023674012426931,208
0.8024090696785698,216
0.8024507381144467,213
0.8024924065503234,207
0.8025340749862001,166
0.8025757434220769,118
0.8026174118579537,67
0.8026590802938304,-1
0.8027007487297071,-46
0.8027424171655839,-118
0.8027840856014606,-169
0.8028257540373374,-202
0.8028674224732142,-229
0.8029090909090909,-253
0.8029507593449676,-253
0.8029924277808443,-225
0.8030340962167212,-196
0.8030757646525979,-157
0.8031174330884746,-91
0.8031591015243514,-40
0.8032007699602282,27
0.8032424383961049,80
0.8032841068319816,141
0.8033257752678584,181
0.8033674437037351,219
0.8034091121396119,219
0.8034507805754887,222
0.8034924490113654,220
0.8035341174472421,172
0.8035757858831188,133
0.8036174543189957,78
0.8036591227548724,15
0.8037007911907491,-44
0.8037424596266259,-96
0.8037841280625027,-160
0.8038257964983794,-198
0.8038674649342561,-229
0.8039091333701329,-247
0.8039508018060096,-242
0.8039924702418864,-217
0.8040341386777632,-196
0.8040758071136399,-151
0.8041174755495166,-93
0.8041591439853933,-36
0.8042008124212702,30
0.8042424808571469,82
0.8042841492930236,137
0.8043258177289003,183
0.8043674861647772,204
0.8044091546006539,218
0.8044508230365306,212
0.8044924914724074,191
0.8045341599082841,154
0.8045758283441609,117
0.8046174967800376,55
0.8046591652159144,-7
0.8047008336517911,-50
0.8047425020876678,-116
0.8047841705235447,-164
0.8048258389594214,-216
0.8048675073952981,-239
0.8049091758311748,-247
0.8049508442670517,-250
0.8049925127029284,-230
0.8050341811388051,-212
0.8050758495746819,-156
0.8051175180105586,-93
0.8051591864464354,-38
0.8052008548823121,31
0.8052425233181889,84
0.8052841917540656,138
0.8053258601899423,182
0.8053675286258192,213
0.8054091970616959,237
0.8054508654975726,224
0.8054925339334493,216
0.8055342023693262,179
0.8055758708052029,138
0.8056175392410796,83
0.8056592076769564,22
0.8057008761128331,-49
0.8057425445487099,-99
0.8057842129845866,-159
